RECORDS,RECORD,id,produto_id,file
,,"1347","155","40b1d0983dd2f51e8e0436040889a94f.jpg"
,,"1353","1324","da6ae2413f84457890f46313a64de6f1jpeg"
,,"1656","270","6d4c6d4183eea634097ae24e48fa4afb.jpg"
,,"1494","343","974c0f46ed9d1761d9f38e263f3ab920.jpg"
,,"1497","344","cb483c4ab879ee5d882186518f12a0ec.jpg"
,,"134","336","0a75de3a10958c5050fbe5b48a241f57.jpg"
,,"135","336","2c32351e414d5c64721c33af1af0f8d4.jpg"
,,"136","364","cdc679bebbe282e170ab6fe0dca8445e.jpg"
,,"1510","364","0cedfbf64bd18417979a947e0ed45377.jpg"
,,"1415","280","565292b49fbe835269a34700a7f8b4aa.jpg"
,,"1071","281","1d81fba88f8794f8789fa8a22d0cef8e.jpg"
,,"140","282","a9411fab54e7885a79ceb69b6c831757.jpg"
,,"1159","279","f4f7f6e7baebd717dced52a0015d0d6c.jpg"
,,"142","285","1aad9a9097a8450c72ae11661649d7b1.jpg"
,,"143","324","102f0aff80be4b1f373ee5722cbfa341.jpg"
,,"145","83","9c072e888df20b9c6ba0019346065970.jpg"
,,"146","408","abc17ebcee3f1e4152e1f37228ff1bad.jpg"
,,"147","408","230a6ab697019a8dc0731da628870555.jpg"
,,"1449","325","179e845ae2f10e5eb3c5e91c7fe5f560.jpg"
,,"1454","323","ea1c0e80e119799cdf4db6bd18c6c668.jpg"
,,"150","518","ad97282b459fe1fffb0837dae53cc6b2.jpg"
,,"1452","322","c7c3d78188220905100c02daa9a2a922.jpg"
,,"1453","320","9ecaf9d9fed001314b14af3fb7ae0d26jpeg"
,,"153","327","331c0b0f6a4bd4516a08b54e0bb984a0.jpg"
,,"154","174","4e7de3807b5f0db518bafe882b038ba1.jpg"
,,"155","175","2938ee2d8c4344da2905f019a7d03c9e.jpg"
,,"156","180","61a381497de0f2cf2fc4294896d3dec4.jpg"
,,"1355","181","cc0124c6417c69b119ef041f99596a4e.jpg"
,,"1367","178","6c838bc34daf4c7d46abf6cdc91d9fb2.jpg"
,,"159","121","4d458fb5e45d746ea9825362e87c2951.jpg"
,,"197","321","86ecbd37abee2751aebbd6f99c3e7f7f.png"
,,"1755","108","5c6b72cdc07024797b4757b9a4feab33.jpg"
,,"1423","65","5e422e75eb673d2b532887f659a99107.jpg"
,,"163","385","d123e589ea04862decc40e671582b000.jpg"
,,"164","384","d123e589ea04862decc40e671582b000.jpg"
,,"1520","382","216b357e9cf3b0a87220ca7ae95b9e3e.jpg"
,,"1518","388","7f556ecd013e0ec8753754caca333897.jpg"
,,"167","122","0851e5a6033dfae23d5bf96d6119ebe5.jpg"
,,"168","98","24684e42a69f9c55d9e3d85f5cf3732c.jpg"
,,"169","97","2bd712bd6adf83588c0fcc70eb289495.jpg"
,,"170","97","c405a42082722cb0be94e07a5dba3f7a.jpg"
,,"171","113","3cdfa1303e28eec99041cfdf71e459b5.jpg"
,,"172","96","aceba84bfccd5e305240540583bcf51d.jpg"
,,"173","100","972091ba09f86b5c2a080be7250a88a2.jpg"
,,"174","99","6d6e9c42437503578ad99b6a1b8ee5d3.jpg"
,,"175","269","66ded5506d9f0667f4f9cdb400a28a00.jpg"
,,"1529","402","788d94a6988a509cc8cae6905ca84f83.png"
,,"177","381","9408597a26d1fa53320b1b1945a154d1.jpg"
,,"1258","158","e7759226b9f7854ff5b92c1a03cb1c99.jpg"
,,"179","401","4d18931764b276ef65e05cb08ccde694.jpg"
,,"180","531","4d18931764b276ef65e05cb08ccde694.jpg"
,,"181","529","c01da59c139ec552cc7497d811ce842c.jpg"
,,"182","533","1e30a1752545d36d53f5e7a10c59589d.jpg"
,,"183","533","bdc659df872d4f4cf31462f5f73f7204.jpg"
,,"184","532","9bf717b97c231b0ec3045e112973f70f.jpg"
,,"185","527","7ac7cca41d20ceeb62d13314b565b0ca.jpg"
,,"1530","526","5a52c62fb6493691c64abcf3ccf2bb50.jpg"
,,"187","274","6b48b3de9b82451bbef4e12f0f3a4140.jpg"
,,"188","274","3cf1e1f256f909a971a738998600488d.jpg"
,,"189","275","4e7de3807b5f0db518bafe882b038ba1.jpg"
,,"190","153","badff3699e37bfc428c372ff05fe7e7c.jpg"
,,"1350","156","f287f92786f7e20e23445eacca3deb9d.jpg"
,,"192","77","854d07e1d4240022f0f1d8e47067f54d.jpg"
,,"1461","333","3032adad04a3a34be9e49e4be82a652e.png"
,,"1507","357","8f8d9aecbe745203cd49e6b0a1897596.jpg"
,,"195","357","0b45d899e7f81948d3fe5ddce4932ea3.jpg"
,,"1501","355","cddd74b42d1a24b5feacd9c335ce0fcc.jpg"
